Data.Rio,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Tabela 2675 - Chegada mensal de turistas pelo Rio de Janeiro, segundo continentes e países de residência permanente - Via aérea - 2006 (1)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Continentes e países de residência permanente,Número de turistas,,,,,,,,,,,,
,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
,,,,,,,,,,,,,
Total, 757 918, 97 406, 92 752, 78 138, 60 947, 52 938, 50 480, 52 216, 47 019, 45 642, 51 692, 59 871, 68 817
África, 29 041, 2 436, 1 848, 1 927, 1 802, 1 529, 1 825, 1 882, 4 560, 2 323, 3 468, 2 714, 2 727
   África do Sul, 3 012,  363,  203,  103,  85,  38,  442,  474,  323,  488,  151,  227,  115
   Angola, 21 606, 1 639, 1 113, 1 208, 1 501,  940,  966, 1 037, 3 910, 1 528, 3 052, 2 299, 2 413
   Cabo Verde, 2 407,  221,  286,  212,  103,  301,  326,  274,  187,  153,  115,  106,  123
   Nigéria,  233,  22,  7,  35,-,  18,  8,  8,  44,  91,-,-,-
   Outros, 1 783,  191,  239,  369,  113,  232,  83,  89,  96,  63,  150,  82,  76
América Central, 3 546,  267,  487,  292,  327,  131,  341,  365,  195,  109,  273,  284,  475
   Costa Rica,  600,  28,  93,  46,  52,  16,  71,  76,  10,  7,  82,  32,  87
   Panamá,  293,  4,  60,  79,  16,  19,  8,  9,  13,  12,  25,  17,  31
   Porto Rico,  290,  43,  26,  11,  26,  16,  6,  6,  13,  1,  21,  39,  82
   Outros, 2 363,  192,  308,  156,  233,  80,  256,  274,  159,  89,  145,  196,  275
América do Norte, 185 680, 22 308, 21 452, 19 147, 16 439, 16 175, 17 453, 18 185, 7 638, 6 671, 8 444, 13 120, 18 648
   Canadá, 13 828, 1 863, 1 629, 1 491, 1 087, 1 336, 1 353, 1 071,  621,  732,  677, 1 032,  936
   Estados Unidos, 157 880, 19 117, 18 295, 16 196, 14 113, 13 443, 14 819, 15 683, 6 325, 5 042, 6 928, 11 229, 16 690
   México, 13 972, 1 328, 1 528, 1 460, 1 239, 1 396, 1 281, 1 431,  692,  897,  839,  859, 1 022
América do Sul, 122 387, 20 200, 17 108, 16 375, 9 654, 5 217, 7 126, 7 645, 6 083, 8 914, 7 563, 6 937, 9 565
   Argentina, 88 248, 14 642, 13 262, 12 788, 7 044, 3 602, 4 954, 5 316, 4 523, 5 335, 6 203, 5 047, 5 532
   Bolívia,  557,  41,  90,  14,  143,  41,  23,  24,  62,  27,  71,  1,  20
   Chile, 16 005, 2 763, 1 439,  948,  749,  394,  910,  976,  638, 2 177,  552, 1 329, 3 130
   Colômbia, 3 163,  558,  735,  686,  362,  109,  119,  128,  51,  52,  91,  127,  145
   Equador, 1 588,  147,  163,  143,  415,  49,  152,  163,  75,  175,  33,  4,  69
   Guiana Francesa,-,-,-,-,-,-,-,-,-,-,-,-,-
   Paraguai,  960,  152,  86,  75,  34,  66,  33,  35,  57,  68,  171,  83,  100
   Peru, 2 956,  448,  356,  255,  202,  296,  249,  267,  64,  398,  133,  123,  165
   República da Guiana,  2,-,-,  1,-,-,-,-,  1,-,-,-,-
   Suriname,  2,-,  2,-,-,-,-,-,-,-,-,-,-
   Uruguai, 5 035,  386,  494,  753,  522,  382,  381,  409,  495,  582,  200,  155,  276
   Venezuela, 3 871, 1 063,  481,  712,  183,  278,  305,  327,  117,  100,  109,  68,  128
Ásia, 18 125, 2 342, 1 475, 1 727, 1 094, 1 522, 1 420, 1 409, 1 370, 1 968, 1 115, 1 405, 1 278
   China, 6 833, 1 380,  325,  355,  543,  730,  757,  812,  526,  37,  566,  424,  378
   Japão, 4 425,  491,  550,  668,  298,  296,  309,  217,  509,  404,  291,  211,  181
   República da Coréia, 2 106,  109,  189,  243,  162,  149,  103,  111,  19,  40,  61,  531,  389
   Outros, 4 761,  362,  411,  461,  91,  347,  251,  269,  316, 1 487,  197,  239,  330
Europa, 383 954, 48 406, 46 838, 37 574, 30 838, 27 093, 21 577, 21 939, 26 013, 23 534, 30 014, 34 778, 35 350
   Alemanha, 51 520, 6 174, 5 842, 5 612, 4 191, 3 405, 2 836, 2 897, 4 001, 3 741, 4 129, 4 467, 4 225
   Áustria, 2 839,  704,  174,  504,  142,  119,  122,  130,  230,  226,  149,  162,  177
   Bélgica, 8 070,  366,  662,  422,  307,  576,  142,  152,  266,  428,  985, 2 129, 1 635
   Dinamarca, 6 360,  509,  802,  499,  233,  146,  240,  258,  858,  165,  918,  963,  769
   Espanha, 31 241, 3 459, 3 210, 3 313, 2 910, 1 862, 1 738, 1 436, 2 173, 2 835, 2 654, 2 723, 2 928
   Finlândia, 4 272,  605,  486,  153,  131,  866,  322,  345,  331,  46,  259,  399,  329
   França, 82 249, 8 402, 7 754, 7 973, 8 584, 9 413, 6 406, 6 619, 5 311, 4 745, 4 766, 6 364, 5 912
   Grécia, 3 645,  114,  785,  383,  691,  169,  34,  36,  102,  379,  302,  356,  294
   Holanda, 9 054, 1 456,  717,  843,  556,  539,  343,  368,  575,  382,  959, 1 193, 1 123
   Hungria, 1 223,  96,  260,  107,  26,  79,  113,  121,  268,-,  59,  51,  43
   Inglaterra, 46 158, 7 104, 8 877, 4 299, 3 726, 2 541, 2 284, 2 451, 2 579, 2 982, 3 078, 2 664, 3 573
   Irlanda, 2 106,  305,  438,  194,  181,  122,  115,  122,  99,  144,  134,  113,  139
   Itália, 40 954, 6 331, 5 539, 4 174, 2 818, 1 753, 1 478, 1 586, 3 238, 2 387, 2 994, 4 383, 4 273
   Noruega, 5 815,  605,  809,  481,  207,  202,  331,  355,  444,  133,  882,  733,  633
   Polônia, 1 881,  167,  171,  425,  72,  93,  84,  90,  223,  53,  202,  164,  137
   Portugal, 56 400, 7 093, 6 307, 4 767, 4 133, 3 746, 3 833, 3 731, 4 128, 3 972, 4 255, 4 716, 5 719
   Suécia, 5 302,  934,  627,  580,  176,  129,  327,  351,  415,  121,  735,  476,  431
   Suíça, 11 812, 2 158, 1 144, 1 317, 1 120,  714,  329,  354,  401,  487, 1 082, 1 435, 1 271
   Outros, 13 053, 1 824, 2 234, 1 528,  634,  619,  500,  537,  371,  308, 1 472, 1 287, 1 739
Oceania, 7 707, 1 041, 1 982,  440,  429,  323,  409,  439,  648,  771,  416,  328,  481
   Austrália, 6 380,  915, 1 779,  353,  310,  236,  354,  380,  334,  706,  342,  267,  404
   Nova Zelândia, 1 327,  126,  203,  87,  119,  87,  55,  59,  314,  65,  74,  61,  77
Oriente Médio, 7 394,  406, 1 554,  653,  363,  928,  329,  352,  502, 1 352,  357,  305,  293
   Arábia Saudita,  81,-,-,-,-,  1,  4,  4,  27,-,  42,-,  3
   Iraque,  13,  3,  10,-,-,-,-,-,-,-,-,-,-
   Israel, 6 142,  345, 1 431,  481,  335,  922,  185,  198,  367, 1 342,  186,  173,  177
   Outros, 1 158,  58,  113,  172,  28,  5,  140,  150,  108,  10,  129,  132,  113
Países não especificados,  84,-,  8,  3,  1,  20,-,-,  10,-,  42,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fonte:  Departamento de Polícia Federal; Instituto Brasileiro de Turismo - EMBRATUR Anuário Estatístico EMBRATUR 2007 (2),,,,,,,,,,,,,
Disponível em <http://wwwturismogovbr> acesso em maio de 2007,,,,,,,,,,,,,
,,,,,,,,,,,,,
Nota:  -  Dado numérico igual a zero não resultante de arredondamento,,,,,,,,,,,,,
"(1) Os dados tratados no Anuário Estatístico de Turismo da Embratur referem-se às Unidades da Federação, portanto ao Estado do Rio de Janeiro. Como no caso do Estado do Rio de Janeiro quase 95% da entrada de visitantes se dá por via aérea e como o único aeroporto internacional é o Antonio Carlos Jobim, localizado no município do Rio de Janeiro, pode-se considerar os dados apresentados no referido Anuário como uma ""proxy"" , que substitui de forma aproximada a variável desejada para o município. ",,,,,,,,,,,,,
"(2) O Anuário de Turismo da Embratur é publicado com 1 ano de defasagem, ou seja, o anuário 2007 tem como ano base 2006",,,,,,,,,,,,,